,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
75,20200620,LTC,43.57,42.89,43.85,42.21,202428.9462999999,-0.15512291160777636,33.69020203766807,-87.00307079425656,71.64357823292956,0.0
76,20200620,VET,0.00829,0.008379000000000001,0.008468999999999999,0.008081999999999999,1207426567.0,-8.227782623734803e-05,37.68674204366045,-129.40705531948262,32.1616679421524,0.0
77,20200621,ADA,0.07841000000000001,0.07956,0.08098999999999999,0.07814,150318561.80000004,5.1700461829590205e-05,41.07702592770806,-2.1610317183695735,45.10308580985764,0.0
78,20200621,BNB,15.9775,16.059,16.3358,15.921,1317075.8399999987,-0.0846085795348408,25.473486096596318,-76.94489780057555,71.2951018276606,0.0
79,20200621,BTC,9294.69,9358.95,9422.0,9281.54,24316.92623399995,-21.419403291352864,30.117464497568548,-64.25940583820262,78.82580169268995,0.0
80,20200621,ETH,228.04,228.88,231.49,227.11,256305.23734000005,-0.9989240188541828,27.47149447238769,-82.3645218112116,72.1671163942355,0.0
81,20200621,LINK,4.1812,4.1762,4.2058,4.1395,1336859.500000002,0.008508676080307254,42.544767624820444,58.99594905846596,40.80741685039992,0.0
82,20200621,LTC,43.0,43.57,43.83,42.88,159632.67849999995,-0.1804488887513287,31.124835249931905,-76.68465476684582,71.64357823292956,0.0
83,20200621,VET,0.008626,0.008291,0.008879999999999999,0.008291,1679872701.0,-8.017947830850532e-05,44.429157293087854,-60.14611087236741,13.202893548171653,0.0
84,20200622,ADA,0.08355,0.07839,0.08396,0.07821,236593766.89999947,0.000266143035104055,52.43908477341061,95.45485737813638,21.273944032716322,0.0
85,20200622,BNB,16.5051,15.9792,16.55,15.9499,1706812.4199999976,-0.06042500658111294,39.81463985998045,-16.71862747253659,53.98330836609841,0.0
86,20200622,BTC,9685.69,9294.69,9780.0,9277.09,57895.46834300001,-2.3230267474827997,48.47064360879073,96.57540438000711,25.102046512490357,0.0
87,20200622,ETH,243.13,228.03,246.89,227.51,749030.1111400005,-0.23073293030682862,50.254563770336226,94.36181228441909,2.7486870801640957,0.0
88,20200622,LINK,4.4841,4.1819,4.4859,4.176,4659609.050000004,0.02829676083873167,56.93074427484104,170.44451149380774,0.18904323928465835,0.0
89,20200622,LTC,44.3,43.0,44.67,42.94,281907.39739,-0.12340296999732203,41.61411101191798,-3.610192487068612,45.88824889231766,0.0
90,20200622,VET,0.009283,0.008628,0.00945,0.008577,2160466835.0,-4.044694537697589e-05,54.40786528672639,41.48573142835717,6.649697893668144,0.0
91,20200623,ADA,0.08276,0.08359,0.08445,0.08152000000000001,173136119.40000007,0.0003774141404938036,50.879174353043986,114.05180399658298,17.860419243465913,0.0
92,20200623,BNB,16.3898,16.5051,16.5472,16.2602,1453306.729999999,-0.048220831843188705,38.15478515053284,-0.8478594540596998,53.98330836609841,0.0
93,20200623,BTC,9624.89,9685.69,9720.0,9577.03,41031.02937999998,8.477301578752304,46.5059221519225,113.89659917770891,25.10204651249035,0.0
94,20200623,ETH,243.14,243.11,244.87,240.75,442296.31477,0.34784463462816007,50.26527396216226,131.7375382769831,2.7486870801640975,0.0
95,20200623,LINK,4.8051,4.484,4.9422,4.4254,10884418.780000007,0.06134482094647442,66.20687962344283,255.08487446265744,33.31135387655832,0.0
96,20200623,LTC,44.18,44.3,44.49,43.89,219437.9609900002,-0.08605533332622883,41.01760570885577,19.240097008892704,45.88824889231765,0.0
97,20200623,VET,0.008903,0.009283,0.009369,0.00886,1753235775.0,-3.2204638730064586e-05,49.12937140232677,28.015829336688174,6.649697893668146,0.0
98,20200624,ADA,0.08254,0.08277999999999999,0.08723,0.07995,431544912.39999986,0.00044345866867226413,50.44686208545072,109.92886912212975,0.6746796301476852,0.0
99,20200624,BNB,15.9968,16.3898,16.6481,15.95,1525251.179999998,-0.06172305291581992,33.26488678209978,-51.647002643308156,60.57658214348882,0.0
100,20200624,BTC,9296.49,9624.33,9670.0,9208.0,61571.47581100002,-2.9735768649406964,37.917962096340574,-33.65269113031547,44.67857156286499,0.0
101,20200624,ETH,234.58,243.15,249.24,231.07,921631.6809900013,0.27177665358667014,42.21660084699783,56.34312414715246,24.588315601833933,0.0
102,20200624,LINK,4.7075,4.8061,4.9411,4.4986,10253258.210000014,0.07969357994801651,62.00635119914847,181.52886712203522,33.31135387655831,0.0
103,20200624,LTC,42.65,44.18,44.69,42.1,357937.7144199995,-0.1475842900931994,34.495730616414235,-89.41418293936266,60.36862458410537,0.0
104,20200624,VET,0.008995999999999999,0.008903,0.00927,0.008654,1925447369.0,-2.0059030255637628e-05,50.34892146197894,12.305733011669025,0.5526276302427197,0.0
105,20200625,ADA,0.08167,0.08251,0.08351,0.07862999999999999,256346389.90000045,0.0004352338432468822,48.75224359839524,42.74335659406471,7.519223986282637,0.0
106,20200625,BNB,15.906,16.0084,16.0816,15.5,1201354.7500000005,-0.07669965329520778,32.27621977961307,-133.99585309731998,67.74356683071802,0.0
107,20200625,BTC,9249.49,9298.33,9340.0,9009.69,55831.61915599999,-14.475592574772236,36.90887075482539,-138.2161532158582,51.90049525372065,0.0
108,20200625,ETH,232.5,234.57,235.39,227.56,613748.5934800003,0.08448948938664103,40.58311837913611,-42.49666672887358,30.626915223406325,0.0
109,20200625,LINK,4.8134,4.7075,4.8407,4.5033,7030842.149999998,0.09903764342484145,64.53218430054379,146.03635497983961,33.31135387655831,0.0
110,20200625,LTC,42.35,42.65,43.0,41.68,241972.00631999984,-0.21061200955575998,33.41793872970045,-151.01277656590872,62.861349289589285,0.0
111,20200625,VET,0.008882,0.008995999999999999,0.009191,0.0086,1724950193.0,-1.7504959709518236e-05,48.863458293855956,-6.828114556018424,2.3995772575578136,0.0
112,20200626,ADA,0.08062000000000001,0.08166,0.08181000000000001,0.07934,189443293.9,0.0003585812715929809,46.789864656274204,19.398563039217276,7.5192239862826264,0.0
113,20200626,BNB,15.7694,15.9056,15.9996,15.5715,1041399.0,-0.09562299211011549,30.849306741292168,-130.01871137393178,67.74356683071804,0.0
114,20200626,BTC,9162.21,9249.49,9298.0,9045.45,50292.298277000045,-28.46912567389154,35.113713929167446,-140.5856049324088,51.90049525372067,0.0
115,20200626,ETH,229.64,232.49,233.61,227.75,628340.0700700002,-0.23638140635895866,38.46605057053337,-62.907547390526986,30.626915223406325,0.0
116,20200626,LINK,4.6813,4.8129,4.8587,4.6424,5532469.509999992,0.10438619004301497,59.43353303318635,125.86010672826417,34.368787888399744,0.0
117,20200626,LTC,43.09,42.34,43.6,41.37,348389.3420800003,-0.21027118571443282,38.33433314332078,-105.48876745598125,48.589239167589994,0.0
118,20200626,VET,0.008948999999999999,0.008882,0.009032,0.008756,1240563897.0,-1.1193624799208518e-05,49.76456269635167,-1.5609096043663595,2.3995772575578336,0.0
119,20200627,ADA,0.07737999999999999,0.08063,0.081,0.07453,239980469.29999977,9.119421749928525e-05,41.46238808773127,-79.02810002577934,28.13872027571323,0.0
120,20200627,BNB,15.1242,15.7696,15.8714,14.8,1309335.6600000015,-0.14962109310200944,25.36920505384208,-207.5364398867259,76.21470195988252,0.0
121,20200627,BTC,9012.0,9162.21,9196.24,8833.0,46290.930113000046,-48.30713646376171,32.315446822698604,-194.11294634242108,58.52805203954683,0.0
122,20200627,ETH,220.94,229.66,231.42,216.0,645950.6143799998,-1.0277485737983056,33.041909594677534,-163.6842523104802,46.893701720913974,0.0
123,20200627,LINK,4.4058,4.683,4.6957,4.3,6165533.049999995,0.08983060742332061,50.77795302830185,52.27210686728493,1.6080064780871868,0.0
124,20200627,LTC,41.06,43.1,43.12,39.11,301504.63430000003,-0.33542005589571033,31.69318786895643,-209.93883792048942,61.99820205228461,0.0
125,20200627,VET,0.008608,0.008948999999999999,0.009167,0.008149,1711077683.0,-2.7722750315734013e-05,45.53948494780011,-68.34071171105823,21.197996143618404,0.0
126,20200628,ADA,0.08027999999999999,0.07737999999999999,0.08109,0.0762,230373628.4000004,7.062706662182283e-05,47.04518068964392,-24.485138798795866,27.569820633847307,0.0
127,20200628,BNB,15.3782,15.123,15.4944,14.9249,1402858.9599999995,-0.1730054750435528,30.404089893439462,-178.2223031846141,76.21470195988252,0.0
128,20200628,BTC,9116.35,9012.0,9191.0,8948.06,30688.176420999986,-56.271337631094866,35.98178743077236,-139.27947196038437,58.52805203954683,0.0
129,20200628,ETH,224.93,220.94,227.96,218.32,444766.56880999927,-1.3674672713323162,37.24055650848723,-135.02559937478566,46.893701720913974,0.0
130,20200628,LINK,4.5668,4.4051,4.62,4.3647,4751931.740000005,0.08787983394854848,54.760913393404905,61.86798322033589,1.608006478087186,0.0
131,20200628,LTC,41.37,41.04,42.05,40.48,169011.98685,-0.4076322335082949,33.51281305303637,-167.59398916261756,61.99820205228461,0.0
132,20200628,VET,0.00869,0.008612,0.008808,0.008413,1149749804.0,-3.482813992568279e-05,46.66590957295844,-65.69314416705167,21.197996143618404,0.0
133,20200629,ADA,0.08392000000000001,0.08026,0.08444,0.08026,322000901.69999975,0.00029119375970358685,52.880251127677326,99.69429644510467,8.417527867988959,0.0
134,20200629,BNB,15.4656,15.3714,15.5901,15.204,1511856.38,-0.1832441090440753,32.036202370507326,-132.92029398613371,69.8906118890368,0.0
135,20200629,BTC,9192.56,9116.16,9238.0,9024.67,42120.29326100005,-56.762983539014385,38.498712104755946,-99.02293635820176,53.192030906087815,0.0
136,20200629,ETH,227.93,224.89,229.96,221.26,597915.5224199997,-1.417249883373671,40.15916316570097,-90.23609585562593,40.4865497138083,0.0
137,20200629,LINK,4.6187,4.5658,4.65,4.4232,4789663.320000007,0.08869888016155603,55.9495827829487,69.91273350307486,3.9525409527091724,0.0
138,20200629,LTC,41.87,41.37,42.29,40.59,323346.1719999999,-0.42577839108032123,36.342254696726556,-131.08453804509531,57.028283900512456,0.0
139,20200629,VET,0.008690999999999999,0.00869,0.008856000000000001,0.008461,1291890685.0,-3.981913488975905e-05,46.67982259208095,-54.54878272011756,19.12474672404666,0.0
140,20200630,ADA,0.08299,0.08394,0.0847,0.08181000000000001,196547531.10000023,0.00039659138224412693,51.383769480972326,101.44608275830312,7.083734443081037,0.0
141,20200630,BNB,15.3838,15.4674,15.5476,15.2519,1315772.4199999988,-0.1943703266356529,31.32495295635296,-124.04139521963624,69.89061188903682,0.0
